date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:32:12	7571/7571	---M--	200	added ('OK')	image/jpeg	etag:W/%221d398204cdfff00%22	http://product.hstatic.net/1000253446/product/upload_af5fb718aca04bd9b4c7e03d99c0d531_large.jpg	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/product.hstatic.net/1000253446/product/upload_af5fb718aca04bd9b4c7e03d99c0d531_large.jpg	(from https://shop.dienquang.com/collections/led-nen)
19:32:13	18994/18994	---M--	200	added ('OK')	image/jpeg	etag:W/%221d4472d7c97a380%22	http://product.hstatic.net/1000253446/product/dq_ledcd04_02727__2w_warmwhite_ch_p_m___large.jpg	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/product.hstatic.net/1000253446/product/dq_ledcd04_02727__2w_warmwhite_ch_p_m___large.jpg	(from https://shop.dienquang.com/collections/led-nen)
19:32:13	95285/95285	---MCZ	200	added ('OK')	text/html	etag:W/%2222b1a170d860450d999e4244c85389da%22	https://shop.dienquang.com/collections/led-nen/products/den-led-nen-dien-quang-dq-ledcd04-02727-2w-warmwhite-chup-mo	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/collections/led-nen/products/den-led-nen-dien-quang-dq-ledcd04-02727-2w-warmwhite-chup-mo.html	(from https://shop.dienquang.com/collections/led-nen)
19:32:15	95366/95366	---MCZ	200	added ('OK')	text/html	etag:W/%22a85aafda4a62480ab8e7d72838ea756a%22	https://shop.dienquang.com/products/den-led-nen-dien-quang-dq-ledcd03-02727-2w-warmwhite-chup-mo	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/products/den-led-nen-dien-quang-dq-ledcd03-02727-2w-warmwhite-chup-mo.html	(from https://shop.dienquang.com/collections/led-nen)
19:32:17	21049/21049	---M--	200	added ('OK')	image/jpeg	etag:W/%221d4472adb0f5280%22	http://product.hstatic.net/1000253446/product/dq_ledcd03_02727__2w_warmwhite_ch_p_m___large.jpg	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/product.hstatic.net/1000253446/product/dq_ledcd03_02727__2w_warmwhite_ch_p_m___large.jpg	(from https://shop.dienquang.com/collections/led-nen)
19:32:20	93823/93823	---MCZ	200	added ('OK')	text/html	etag:W/%2222f77dffd8cc4b689557d1f324dcfe72%22	https://shop.dienquang.com/collections/led-nen/products/den-led-nen-dien-quang-dq-ledcd03-02727-2w-warmwhite-chup-mo	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/collections/led-nen/products/den-led-nen-dien-quang-dq-ledcd03-02727-2w-warmwhite-chup-mo.html	(from https://shop.dienquang.com/collections/led-nen)
19:32:20	80042/80042	---M--	200	added ('OK')	image/jpeg	etag:W/%221d39820320d8a80%22	http://product.hstatic.net/1000253446/product/upload_cb8030ae757247f696e3d0bf4cdf43c0_large.jpg	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/product.hstatic.net/1000253446/product/upload_cb8030ae757247f696e3d0bf4cdf43c0_large.jpg	(from https://shop.dienquang.com/collections/led-nen)
19:32:22	105370/105370	---M--	200	added ('OK')	image/jpeg	etag:W/%221d398204cdfff00%22	http://product.hstatic.net/1000253446/product/upload_914e3c018bfc45f780c8c3275a7bf052_large.jpg	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/product.hstatic.net/1000253446/product/upload_914e3c018bfc45f780c8c3275a7bf052_large.jpg	(from https://shop.dienquang.com/collections/led-nen)
19:32:22	0/-1	---M--	302	error ('')			https://shop.dienquang.com/checkout	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/checkout.84e.delayed	(from https://shop.dienquang.com/collections/led-day)
19:32:22	94271/94271	---MCZ	200	added ('OK')	text/html	etag:W/%2239ffb64cf63847a68b9d5444288132fe%22	https://shop.dienquang.com/collections/led-nen/products/den-led-nen-dien-quang-dq-ledcd03-02765-2w-daylight-chup-mo	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/collections/led-nen/products/den-led-nen-dien-quang-dq-ledcd03-02765-2w-daylight-chup-mo.html	(from https://shop.dienquang.com/collections/led-nen)
19:32:24	90322/90322	---MCZ	200	added ('OK')	text/html	etag:W/%2205a40e0465e041058e8992091855e127%22	https://shop.dienquang.com/collections/led-day/products/den-led-day-dien-quang-dq-lsl05-14rgb-ip65-14w-m-ip65-rgb	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/collections/led-day/products/den-led-day-dien-quang-dq-lsl05-14rgb-ip65-14w-m-ip65-rgb.html	(from https://shop.dienquang.com/collections/led-day)
19:32:27	90241/90241	---MCZ	200	added ('OK')	text/html	etag:W/%22c3ff0e24bf6d465da4e62384e611bd6d%22	https://shop.dienquang.com/collections/led-day/products/bo-nguon-led-day-dien-quang-dq-lsl05-1206-12v-60w	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/collections/led-day/products/bo-nguon-led-day-dien-quang-dq-lsl05-1206-12v-60w.html	(from https://shop.dienquang.com/collections/led-day)
19:32:27	87988/87988	---M--	200	added ('OK')	image/jpeg	etag:W/%221d3980ca807f680%22	http://product.hstatic.net/1000253446/product/upload_580bc4de3531433684656d8fafde2605_large.jpg	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/product.hstatic.net/1000253446/product/upload_580bc4de3531433684656d8fafde2605_large.jpg	(from https://shop.dienquang.com/collections/led-nen)
19:32:27	54216/54216	---M--	200	added ('OK')	image/jpeg	etag:W/%221d39820320d8a80%22	http://product.hstatic.net/1000253446/product/upload_b3580c7b632c4bfa827466268f97f756_large.jpg	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/product.hstatic.net/1000253446/product/upload_b3580c7b632c4bfa827466268f97f756_large.jpg	(from https://shop.dienquang.com/collections/led-nen)
19:32:27	97871/97871	---MCZ	200	added ('OK')	text/html	etag:W/%22783c6c5c413f40519930cfcb32850735%22	https://shop.dienquang.com/products/bo-dieu-khien-bouetooth-cho-led-day-thong-minh-dien-quang-apollo-dq-scu01-35-br0i-cong-suat-toi-da-35w	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/products/bo-dieu-khien-bouetooth-cho-led-day-thong-minh-dien-quang-apollo-dq-scu01-35-br0i-cong-suat-toi-da-35w.html	(from https://shop.dienquang.com/collections/led-day)
